feature_id	R1_N_1	R1_N_2	R1_N_3	R1_R_1	R1_R_2	R1_R_3	R1_U_1	R1_U_2	R1_U_3	U1_R_1	U1_R_2	U1_R_3	U1_U_1	U1_U_2	U1_U_3	U4_R_1	U4_R_2	U4_R_3	U4_U_1	U4_U_2	U4_U_3	U6_R_1	U6_R_2	U6_R_3	U6_U_1	U6_U_2	U6_U_3
ENSG00000264240.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264689.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000263604.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.564656717736929	0	0	0	0	0	0	0
ENSG00000265833.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000266416.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000266786.1	0	0	0	0	0	0	0	0	0.306838944250755	0	0	0	0	0	0	0	0.134148916060413	0	0	0	0.355591382730209	0	0	0	0	0	0
ENSG00000007171.17	0	0	0	0	0	0.0215963566087436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625942736634408	0.0580939229083597	0.125814521839358	0.0627751194758302	0.0646225973839034	0
ENSG00000266202.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000266527.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062298351273229	0
ENSG00000232859.9	0.209191022850143	0.366714198282265	0.304322735505641	0	0.100467653348929	0.210456093732939	0.157098369517298	0.0815240735378828	0.239653762777262	0.233715453713398	0.327315020603792	0.200612346671165	0.183795782880761	0.250428497498684	0.146090361879188	0	0	0	0	0.041772002538903	0.0757449302246877	0.177910843071469	0.259473591175916	0.127714601746319	0.152935593117046	0.131197085488046	0.136355950839509
ENSG00000260019.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251818.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000266190.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47223680920632	0.471244840188835	0	0
ENSG00000202389.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000087095.12	9.05707306168685	10.7582651597276	11.3225507746051	8.88720877789411	7.05020836979003	7.65180960077973	9.53301019612783	7.37908447852723	6.71368250307143	11.9710188022316	12.4593616106476	12.400211101128	15.1407422048729	14.9629843755948	14.7832952018049	8.67512787629559	11.4889290584126	9.51326286001001	7.58026210069137	9.36743079241497	11.8118181046035	6.02263997363785	6.30932399206824	7.76726890968483	7.15472600843223	7.92569281731298	7.654904509738
ENSG00000252283.1	0	0	2.67525541996789	0	0	0	0	0	2.29828385693702	0	0	0	0	0	0	0	0	2.10847831948437	0	0	0	0	0	0	0	0	0
ENSG00000240873.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.779728320347252	0	0	1.92022132667326	0	0	0	0	0	0	0	0	1.74665479884895
ENSG00000267644.1	0	0	0	0	0	0	0	0	0	0	0	0	0.228576355038949	0	0	0	0.284298951096133	0	0	0	0	0	0	0	0	0	0
ENSG00000237575.4	0.149422159178674	0	0	0	0	0	0	0	0	0.318702891427361	0	0.111451303706203	0	0	0.243483936465313	1.50403109407557	2.38126793378615	0.499685847089697	0.688011206965811	0.731010044430802	0	0	0.117942541443598	0.255429203492638	0	0	0.136355950839509
