"Gene","Sample","Contribution","Scaled.Expression","Supports"
"UPK1A","UPPL1541_MP1_rep_1",-0.0893071432500175,0.502805745837403,"Luminal"
"UPK1A","UPPL1541_MP1_rep_2",0.282439486365841,-0.88242398070917,"Basal"
"UPK1A","UPPL1541_MP1_rep_3",0.0873734326666135,-0.155554455345832,"Basal"
"UPK1A","BBN963_PARENTAL_rep_1",0.205028947319079,-0.593971117138154,"Basal"
"UPK1A","BBN963_PARENTAL_rep_2",0.519138253800447,-1.76442839652906,"Basal"
"UPK1A","BBN963_PARENTAL_rep_3",0.00952082437981013,0.134545679252579,"Basal"
"GATA3","BBN963_MP1_rep_1",-0.202403730434292,0.205892053986261,"Luminal"
"GATA3","BBN963_MP1_rep_2",-0.22980248761503,0.265104775734416,"Luminal"
"GATA3","BBN963_MP1_rep_3",-0.175663807531254,0.148103169476645,"Luminal"
"GATA3","UPPL1541_PARENTAL_rep_1",-0.0163090691795569,-0.196285728130091,"Luminal"
"GATA3","UPPL1541_PARENTAL_rep_2",-5.13271493256459e-05,-0.231421086596866,"Luminal"
"GATA3","UPPL1541_PARENTAL_rep_3",0.0379822901795873,-0.313617296633575,"Basal"
"GATA3","UPPL1541_MP1_rep_1",-0.0639585197752469,-0.0933082959435473,"Luminal"
"GATA3","UPPL1541_MP1_rep_2",-0.125305710573024,0.039271956320358,"Luminal"
"GATA3","UPPL1541_MP1_rep_3",-0.0940433445593855,-0.0282905892266324,"Luminal"
"GATA3","BBN963_PARENTAL_rep_1",-0.163106298231147,0.120964555154392,"Luminal"
"GATA3","BBN963_PARENTAL_rep_2",-0.107251014742689,0.000253117860022482,"Luminal"
"GATA3","BBN963_PARENTAL_rep_3",-0.0968795359488993,-0.0221611647982187,"Luminal"
"RAB15","BBN963_MP1_rep_1",-0.175286958968533,0.272212125887952,"Luminal"
"RAB15","BBN963_MP1_rep_2",-0.324388542936629,0.636640731047941,"Luminal"
"RAB15","BBN963_MP1_rep_3",-0.233730968638319,0.415058823804149,"Luminal"
"RAB15","UPPL1541_PARENTAL_rep_1",-0.525398517497819,1.12794191446296,"Luminal"
"RAB15","UPPL1541_PARENTAL_rep_2",-0.478280041279139,1.01277666867112,"Luminal"
"RAB15","UPPL1541_PARENTAL_rep_3",-0.620506007005329,1.36040014072101,"Luminal"
"RAB15","UPPL1541_MP1_rep_1",0.657445256390586,-1.76312131349419,"Basal"
"RAB15","UPPL1541_MP1_rep_2",0.554075487431875,-1.51046872782217,"Basal"
"RAB15","UPPL1541_MP1_rep_3",0.554986413882301,-1.51269518073365,"Basal"
"RAB15","BBN963_PARENTAL_rep_1",0.368827697747528,-1.05769289669429,"Basal"
"RAB15","BBN963_PARENTAL_rep_2",0.12424759937967,-0.459899219886926,"Basal"
"RAB15","BBN963_PARENTAL_rep_3",0.192108684362486,-0.625762786770444,"Basal"
"SEMA5A","BBN963_MP1_rep_1",0.475084151985368,-1.26800035445688,"Basal"
"SEMA5A","BBN963_MP1_rep_2",0.563796817228731,-1.51169203097479,"Basal"
"SEMA5A","BBN963_MP1_rep_3",0.665362823080444,-1.79069154220956,"Basal"
"SEMA5A","UPPL1541_PARENTAL_rep_1",-0.0542685510372999,0.186119497708557,"Luminal"
"SEMA5A","UPPL1541_PARENTAL_rep_2",-0.215881851086498,0.630067562266653,"Luminal"
"SEMA5A","UPPL1541_PARENTAL_rep_3",-0.147917559189223,0.443371196078525,"Luminal"
"SEMA5A","UPPL1541_MP1_rep_1",-0.39069672094963,1.11028003926011,"Luminal"
"SEMA5A","UPPL1541_MP1_rep_2",-0.484938621991082,1.36916040093141,"Luminal"
"SEMA5A","UPPL1541_MP1_rep_3",-0.428729058754716,1.21475400739298,"Luminal"
"SEMA5A","BBN963_PARENTAL_rep_1",0.476133373023683,-1.27088254081847,"Basal"
"SEMA5A","BBN963_PARENTAL_rep_2",0.116607048459624,-0.283271893060457,"Basal"
"SEMA5A","BBN963_PARENTAL_rep_3",0.217171021447201,-0.559518842776333,"Basal"
"SPINK1","BBN963_MP1_rep_1",-0.120736367592003,0.0250611640597118,"Luminal"
"SPINK1","BBN963_MP1_rep_2",-0.131750864171278,0.0601772725622125,"Luminal"
"SPINK1","BBN963_MP1_rep_3",-0.0904429129935775,-0.071519576688402,"Luminal"
"SPINK1","UPPL1541_PARENTAL_rep_1",-0.116311597611134,0.0109542367363882,"Luminal"
"SPINK1","UPPL1541_PARENTAL_rep_2",-0.120499561495339,0.0243061855162377,"Luminal"
"SPINK1","UPPL1541_PARENTAL_rep_3",-0.106042054253388,-0.0217868328373514,"Luminal"
"SPINK1","UPPL1541_MP1_rep_1",-0.250507713602999,0.438794523023431,"Luminal"
"SPINK1","UPPL1541_MP1_rep_2",-0.291674631101353,0.570041732660397,"Luminal"
"SPINK1","UPPL1541_MP1_rep_3",-0.230456118613141,0.374866591297802,"Luminal"
"SPINK1","BBN963_PARENTAL_rep_1",-0.0549501705432288,-0.184676540873491,"Luminal"
"SPINK1","BBN963_PARENTAL_rep_2",-0.0647603851424896,-0.153399890341075,"Luminal"
"SPINK1","BBN963_PARENTAL_rep_3",-0.0231177455782796,-0.286163783701296,"Luminal"
"SLC9A2","BBN963_MP1_rep_1",-0.378021936722721,1.68064164262122,"Luminal"
"SLC9A2","BBN963_MP1_rep_2",-0.375209466737032,1.66924502481214,"Luminal"
"SLC9A2","BBN963_MP1_rep_3",-0.313303382865715,1.41839080004587,"Luminal"
"SLC9A2","UPPL1541_PARENTAL_rep_1",0.513429009722788,-1.93167272300057,"Basal"
"SLC9A2","UPPL1541_PARENTAL_rep_2",0.571903478803431,-2.16862144746414,"Basal"
"SLC9A2","UPPL1541_PARENTAL_rep_3",0.440396986001865,-1.63573425382351,"Basal"
"SLC9A2","UPPL1541_MP1_rep_1",0.559493508685564,-2.11833408895894,"Basal"
"SLC9A2","UPPL1541_MP1_rep_2",0.462949368424498,-1.72712043197398,"Basal"
"SLC9A2","UPPL1541_MP1_rep_3",0.668622305249453,-2.5605429632695,"Basal"
"SLC9A2","BBN963_PARENTAL_rep_1",-0.461201580567792,2.01770003443394,"Luminal"
"SLC9A2","BBN963_PARENTAL_rep_2",-0.280857244811253,1.2869134023602,"Luminal"
"SLC9A2","BBN963_PARENTAL_rep_3",-0.450958038842094,1.97619142077648,"Luminal"
"PRRX1","BBN963_MP1_rep_1",-2.40058954819874,-3.70255291771488,"Luminal"
"PRRX1","BBN963_MP1_rep_2",-2.41271856226627,-3.72131860603971,"Luminal"
"PRRX1","BBN963_MP1_rep_3",-2.93556695185821,-4.53025574351856,"Luminal"
"PRRX1","UPPL1541_PARENTAL_rep_1",1.03158476926629,1.607616001167,"Basal"
"PRRX1","UPPL1541_PARENTAL_rep_2",0.957443789407585,1.49290704688757,"Basal"
"PRRX1","UPPL1541_PARENTAL_rep_3",0.991361813759936,1.54538411304042,"Basal"
"PRRX1","UPPL1541_MP1_rep_1",0.97787770920757,1.52452186471912,"Basal"
"PRRX1","UPPL1541_MP1_rep_2",1.0041909736744,1.56523304841835,"Basal"
"PRRX1","UPPL1541_MP1_rep_3",0.969075355849396,1.51090309746195,"Basal"
"PRRX1","BBN963_PARENTAL_rep_1",-1.07276778882595,-1.64818236883081,"Luminal"
"PRRX1","BBN963_PARENTAL_rep_2",-1.2415147391446,-1.90926316713945,"Luminal"
