	WYK3299	WYK3300	WYK3301	WYK3302	WYK3305	WYK3307	WYK3308	WYK3311	WYK3313	WYK3314	WYK3320	WYK3325	WYK3329	WYK3331	WYK3333	WYK3336	WYK3338	WYK3339	WYK3340	WYK3341	WYK3343	WYK3346	WYK3347	WYK3349	WYK3350	WYK3352	WYK3354	WYK3355	WYK3356	WYK3357	WYK3359	WYK3360	WYK3361	WYK3362	WYK3363	WYK3364	WYK3366	WYK3367	WYK3369	WYK3371	WYK3372	WYK3373	WYK3374	WYK3375	WYK3376	WYK3377	WYK3379	WYK3381	WYK3382	WYK3383	WYK3384	WYK3385
GATA3	1.6353695	-0.819376499999999	-1.5874615	-1.0752095	-2.5023205	1.4780485	0.9477235	0.0189025000000012	-4.7546775	-1.9886375	-10.7415085	0.8234215	1.3751995	0.0963725000000011	1.5985235	-1.2352575	0.316810500000001	0.5253335	0.4414245	-1.9100745	-0.646103499999999	-1.5380305	-1.7255075	0.0759995	-0.311249499999999	-0.0164694999999995	-1.0685445	2.4793695	0.335453500000002	0.4745355	-0.4543255	-0.849295499999998	1.5321575	0.5339685	0.5159585	0.258205500000001	1.5218265	-0.564738499999999	0.139107500000001	-2.4215085	-0.685062499999999	-3.6894545	-1.3049305	0.431980500000002	1.0338175	0.303935500000001	0.0164695000000012	-0.380770499999999	-2.6419475	-2.7247115	-1.7240745	0.716442500000001
HMGCS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSN	-3.511094	-0.509689999999999	0.0037199999999995	-0.664914	0.305877000000001	-0.323397	-0.908612	0.338794	1.274216	-0.218918	-1.39735	0.577436	1.224661	0.536735999999999	-0.517268	0.0404239999999998	-0.609734	-0.857229	0.925560000000001	0.270519999999999	1.345216	0.725736	0.215428000000001	-0.348813999999999	-0.0037199999999995	0.849001	1.517215	-0.832323000000001	0.255919	-1.254754	-0.356519	0.345171000000001	-0.366242	0.342745000000001	-0.490935	-2.013026	-0.464342	0.9907	0.422105999999999	0.483387	-0.80822	-0.177747999999999	1.045715	-0.299673	-0.269674	-0.917598	0.679558	-0.270389999999999	0.943434	0.709805000000001	0.578171000000001	-0.293405
MT1X	-1.5012205	-2.1723935	-0.133363500000002	-2.3933595	1.3582305	0.259572499999999	-4.2766485	-0.318851	-0.624786500000001	0.458857499999999	-0.137387500000001	0.235773499999999	0.760465499999999	-0.5768725	-0.0279205000000005	-0.139604500000001	1.0557525	-0.738971500000002	2.3044315	2.2881845	-0.0155745000000014	0.546450499999999	0.0155744999999996	-0.090780500000001	0.573381499999998	-0.486501500000001	0.575407499999999	0.0317524999999996	0.389198499999999	-0.401288500000001	0.121933499999999	1.2044975	0.058913399999998	0.108148499999999	0.0155864999999995	-3.7295615	-0.132906500000001	-0.155017500000001	1.2416075	1.7344955	-0.398496500000002	0.176440499999998	2.0935585	-0.5700935	-0.752144500000002	-0.783791500000001	-2.6709265	-0.5246165	-0.562401500000002	2.8673595	1.0406185	0.714226499999999
MT2A	-4.382068	-0.603735	-0.150367000000001	-0.457695000000001	0.263539999999999	-0.97132	-1.790392	-2.75337	-1.206804	-2.338129	-0.560296000000001	0.786102999999999	0.406020999999999	0.129621	0.692895	1.058962	0.913565999999999	-0.756211	2.3885	2.496407	0.42047	-0.0276060000000005	0.703128999999999	-0.167384	0.552584999999999	1.223655	0.461815	-0.388478000000001	0.878176	-0.287388	0.15498	0.718643	-1.802394	1.189253	-0.0150480000000002	-1.663568	-0.919688000000001	-0.686598	0.950084	0.836798999999999	-1.137594	-0.0466100000000012	1.386105	-0.662131	-0.494054	-0.840960000000001	0.0150480000000002	-0.256707	0.904162	1.900342	0.561665	0.2484
PRRX1	-2.5838535	0.224251499999999	-0.0132135000000009	0.513110499999998	0.372605499999999	0.071893499999998	-0.969926500000001	0.446791499999998	2.5502405	-1.8695545	-1.7299105	0.410362499999998	1.6789305	-0.112138500000002	0.267572499999998	-1.3211005	-0.181909500000002	0.373524499999998	-0.165311500000001	0.415983499999999	2.4395075	-0.786087500000001	1.1470045	1.5172675	0.2878715	-0.667925500000001	1.2739665	0.196902499999998	0.086590499999998	-0.817155500000002	-1.3557515	1.5411125	-2.3374975	-1.0731315	0.0132134999999991	-1.0254675	-3.4863325	0.0642404999999986	-0.356199500000001	0.695282499999999	-0.119532500000002	-0.031895500000001	-1.4759345	-0.0909675000000014	-0.382380500000002	-0.556137500000002	0.4790695	-0.0503965000000015	1.2967145	0.162040499999998	-0.405459500000001	0.605490499999998
PPARG	3.425961	1.709705	0.0619939999999986	0.121751	1.002781	2.401787	-0.0619940000000003	-1.414591	0.122321999999999	-1.460959	-2.073191	0.414273	1.48492	-1.412174	1.035994	-0.579938	2.556875	1.546474	0.613567999999999	-1.261498	-2.791497	-0.0934950000000008	-1.305594	0.987284999999998	-0.101075000000002	-1.076558	-0.934329778	3.789935	0.910898	2.015028	-0.867254000000001	-0.667674000000002	-3.69837525	-3.682423	1.593424	2.161281	2.278459	-4.508252	-0.0888930000000006	-0.326150000000002	1.609892	-0.730936000000002	-0.810025000000001	0.859068999999998	1.926731	2.741363	-1.136994	1.847318	-0.150366000000002	-1.201283	-1.221728	2.32967
SCNN1B	-1.8460735	0.5534935	-2.1025005	-4.1048445	-1.5299145	4.1095165	-0.410927500000001	3.2036795	-2.5795245	0.654213499999999	-0.124050500000001	-2.9033105	0.513023499999999	2.2887505	-0.8686962	-3.6422145	0.0559294999999995	2.0894645	-0.0559295000000013	-2.0892005	-0.8218873	-0.323989500000001	-1.3659095	1.7048715	-1.7221575	-0.6134215	-2.1360735	2.9744235	1.2802515	1.1481185	1.8839115	-1.5829335	2.9807285	-1.2345695	2.8564255	2.8509275	1.9212935	-1.8754805	0.618259499999999	-0.5584505	2.3699915	-0.0566415000000013	0.4052565	0.502888499999999	2.1738305	3.3864345	-1.3477615	0.519596499999999	-0.862820500000001	1.5432105	0.0574054999999998	-0.407868500000001
SCNN1G	-1.8640205	-2.4931095	-1.478552357	-1.7238019	0.807638944	4.7091465	0.992045500000001	0.0633375000000003	-2.3285375	-1.7849745	-1.5537495	-2.7055275	0.122268500000001	3.1690415	-1.6316768	-1.155183833	1.2922535	0.434088500000001	-2.1003455	-2.3295385	-3.1772355	-0.483748667	-0.0152095000000001	1.1990975	-2.6621025	-0.0944985000000003	-1.6060639	3.2884815	-0.4884655	3.3351595	1.1712965	-0.4440105	1.8632475	1.8218325	2.0622385	1.8921045	3.1041415	-1.4689295	2.5215945	-3.3462715	2.9647215	0.0152095000000001	-0.3541925	-0.2218605	0.6976365	3.4177255	-1.8859029	0.5352825	-1.125360944	2.5385765	0.7688125	1.2361705
SLC9A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
